Match id,Location,Home Team,Away Team,URL,First batting,Second batting,Match id_iplt20
89654,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/89654/rcb-vs-csk-1st-match-indian-premier-league-2024,RCB,CSK,1354
89665,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/89665/kkr-vs-srh-3rd-match-indian-premier-league-2024,KKR,SRH,1356
89675,Ahmedabad,Gujarat Titans,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/89675/gt-vs-mi-5th-match-indian-premier-league-2024,GT,MI,1358
89724,Visakhapatnam,Delhi Capitals,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/89724/dc-vs-csk-13th-match-indian-premier-league-2024,DC,CSK,1366
89770,Lucknow,Lucknow Super Giants,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/89770/lsg-vs-gt-21st-match-indian-premier-league-2024,LSG,GT,1374
91425,Mumbai,Mumbai Indians,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91425/csk-vs-mi-29th-match-indian-premier-league-2024,CSK,MI,1411
91488,Mullanpur,Punjab Kings,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/91488/pbks-vs-gt-37th-match-indian-premier-league-2024,PBKS,GT,1419
91542,Lucknow,Lucknow Super Giants,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91542/lsg-vs-rr-44th-match-indian-premier-league-2024,LSG,RR,1426
91555,Chennai,Chennai Super Kings,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91555/csk-vs-srh-46th-match-indian-premier-league-2024,CSK,SRH,1428
91618,Lucknow,Lucknow Super Giants,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/91618/kkr-vs-lsg-54th-match-indian-premier-league-2024,KKR,LSG,1436
91668,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/91668/rcb-vs-dc-62nd-match-indian-premier-league-2024,RCB,DC,1444
91717,Guwahati,Rajasthan Royals,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/91717/rr-vs-kkr-70th-match-indian-premier-league-2024,RR,KKR,1452
89661,Mullanpur,Punjab Kings,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/89661/dc-vs-pbks-2nd-match-indian-premier-league-2024,DC,PBKS,1355
89668,Jaipur,Rajasthan Royals,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/89668/rr-vs-lsg-4th-match-indian-premier-league-2024,RR,LSG,1357
89682,Bengaluru,Royal Challengers Bengaluru,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/89682/pbks-vs-rcb-6th-match-indian-premier-league-2024,PBKS,RCB,1359
89689,Chennai,Chennai Super Kings,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/89689/csk-vs-gt-7th-match-indian-premier-league-2024,CSK,GT,1360
89693,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/89693/srh-vs-mi-8th-match-indian-premier-league-2024,SRH,MI,1361
89700,Jaipur,Rajasthan Royals,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/89700/rr-vs-dc-9th-match-indian-premier-league-2024,RR,DC,1362
89703,Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/89703/rcb-vs-kkr-10th-match-indian-premier-league-2024,RCB,KKR,1363
89710,Lucknow,Lucknow Super Giants,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/89710/lsg-vs-pbks-11th-match-indian-premier-league-2024,LSG,PBKS,1364
89717,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/89717/srh-vs-gt-12th-match-indian-premier-league-2024,SRH,GT,1365
89731,Mumbai,Mumbai Indians,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/89731/mi-vs-rr-14th-match-indian-premier-league-2024,MI,RR,1367
89738,Bengaluru,Royal Challengers Bengaluru,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/89738/lsg-vs-rcb-15th-match-indian-premier-league-2024,LSG,RCB,1368
89745,Visakhapatnam,Delhi Capitals,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/89745/kkr-vs-dc-16th-match-indian-premier-league-2024,KKR,DC,1369
89749,Ahmedabad,Gujarat Titans,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/89749/gt-vs-pbks-17th-match-indian-premier-league-2024,GT,PBKS,1370
89752,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/89752/csk-vs-srh-18th-match-indian-premier-league-2024,CSK,SRH,1371
89756,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/89756/rcb-vs-rr-19th-match-indian-premier-league-2024,RCB,RR,1372
89763,Mumbai,Mumbai Indians,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/89763/mi-vs-dc-20th-match-indian-premier-league-2024,MI,DC,1373
91380,Chennai,Chennai Super Kings,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/91380/kkr-vs-csk-22nd-match-indian-premier-league-2024,KKR,CSK,1404
91389,Mullanpur,Punjab Kings,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91389/srh-vs-pbks-23rd-match-indian-premier-league-2024,SRH,PBKS,1405
91393,Jaipur,Rajasthan Royals,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/91393/rr-vs-gt-24th-match-indian-premier-league-2024,RR,GT,1406
91398,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/91398/rcb-vs-mi-25th-match-indian-premier-league-2024,RCB,MI,1407
91407,Lucknow,Lucknow Super Giants,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/91407/lsg-vs-dc-26th-match-indian-premier-league-2024,LSG,DC,1408
91416,Mullanpur,Punjab Kings,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91416/pbks-vs-rr-27th-match-indian-premier-league-2024,PBKS,RR,1409
91420,Kolkata,Kolkata Knight Riders,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91420/lsg-vs-kkr-28th-match-indian-premier-league-2024,LSG,KKR,1410
91434,Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91434/srh-vs-rcb-30th-match-indian-premier-league-2024,SRH,RCB,1412
91443,Kolkata,Kolkata Knight Riders,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91443/kkr-vs-rr-31st-match-indian-premier-league-2024,KKR,RR,1414
91452,Ahmedabad,Gujarat Titans,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/91452/gt-vs-dc-32nd-match-indian-premier-league-2024,GT,DC,1413
91461,Mullanpur,Punjab Kings,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/91461/mi-vs-pbks-33rd-match-indian-premier-league-2024,MI,PBKS,1415
91470,Lucknow,Lucknow Super Giants,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91470/csk-vs-lsg-34th-match-indian-premier-league-2024,CSK,LSG,1416
91474,Delhi,Delhi Capitals,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91474/srh-vs-dc-35th-match-indian-premier-league-2024,SRH,DC,1417
91479,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/91479/kkr-vs-rcb-36th-match-indian-premier-league-2024,KKR,RCB,1418
91497,Jaipur,Rajasthan Royals,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/91497/mi-vs-rr-38th-match-indian-premier-league-2024,MI,RR,1420
91506,Chennai,Chennai Super Kings,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91506/csk-vs-lsg-39th-match-indian-premier-league-2024,CSK,LSG,1421
91515,Delhi,Delhi Capitals,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/91515/dc-vs-gt-40th-match-indian-premier-league-2024,DC,GT,1422
91524,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/91524/rcb-vs-srh-41st-match-indian-premier-league-2024,RCB,SRH,1423
91528,Kolkata,Kolkata Knight Riders,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/91528/kkr-vs-pbks-42nd-match-indian-premier-league-2024,KKR,PBKS,1424
91533,Delhi,Delhi Capitals,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/91533/dc-vs-mi-43rd-match-indian-premier-league-2024,DC,MI,1425
91551,Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/91551/gt-vs-rcb-45th-match-indian-premier-league-2024,GT,RCB,1427
91564,Kolkata,Kolkata Knight Riders,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/91564/dc-vs-kkr-47th-match-indian-premier-league-2024,DC,KKR,1429
91569,Lucknow,Lucknow Super Giants,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/91569/mi-vs-lsg-48th-match-indian-premier-league-2024,MI,LSG,1430
91578,Chennai,Chennai Super Kings,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/91578/csk-vs-pbks-49th-match-indian-premier-league-2024,CSK,PBKS,1431
91587,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91587/srh-vs-rr-50th-match-indian-premier-league-2024,SRH,RR,1432
91596,Mumbai,Mumbai Indians,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/91596/kkr-vs-mi-51st-match-indian-premier-league-2024,KKR,MI,1433
91600,Bengaluru,Royal Challengers Bengaluru,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/91600/gt-vs-rcb-52nd-match-indian-premier-league-2024,GT,RCB,1434
91609,Dharamsala,Punjab Kings,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91609/csk-vs-pbks-53rd-match-indian-premier-league-2024,CSK,PBKS,1435
91623,Mumbai,Mumbai Indians,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91623/srh-vs-mi-55th-match-indian-premier-league-2024,SRH,MI,1437
91632,Delhi,Delhi Capitals,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91632/dc-vs-rr-56th-match-indian-premier-league-2024,DC,RR,1438
91641,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91641/lsg-vs-srh-57th-match-indian-premier-league-2024,LSG,SRH,1439
91645,Dharamsala,Punjab Kings,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/91645/rcb-vs-pbks-58th-match-indian-premier-league-2024,RCB,PBKS,1440
91650,Ahmedabad,Gujarat Titans,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91650/gt-vs-csk-59th-match-indian-premier-league-2024,GT,CSK,1441
91654,Kolkata,Kolkata Knight Riders,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/91654/kkr-vs-mi-60th-match-indian-premier-league-2024,KKR,MI,1442
91663,Chennai,Chennai Super Kings,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91663/rr-vs-csk-61st-match-indian-premier-league-2024,RR,CSK,1443
91677,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/91677/gt-vs-kkr-63rd-match-indian-premier-league-2024,KKR,GT,1445
91681,Delhi,Delhi Capitals,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91681/dc-vs-lsg-64th-match-indian-premier-league-2024,DC,LSG,1446
91686,Guwahati,Rajasthan Royals,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/91686/rr-vs-pbks-65th-match-indian-premier-league-2024,RR,PBKS,1447
91690,Hyderabad,Sunrisers Hyderabad,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/91690/srh-vs-gt-66th-match-indian-premier-league-2024,GT,SRH,1448
91699,Mumbai,Mumbai Indians,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91699/lsg-vs-mi-67th-match-indian-premier-league-2024,LSG,MI,1449
91704,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91704/rcb-vs-csk-68th-match-indian-premier-league-2024,RCB,CSK,1450
91713,Hyderabad,Sunrisers Hyderabad,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/91713/pbks-vs-srh-69th-match-indian-premier-league-2024,PBKS,SRH,1451
91722,Ahmedabad,Kolkata Knight Riders,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91722/srh-vs-kkr-qualifier-1-indian-premier-league-2024,SRH,KKR,1453
91731,Ahmedabad,Rajasthan Royals,Royal Challengers Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary/91731/rcb-vs-rr-eliminator-indian-premier-league-2024,RCB,RR,1454
91735,Chennai,Rajasthan Royals,Sunrisers Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary/91735/srh-vs-rr-qualifier-2-indian-premier-league-2024,SRH,RR,1455
91740,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary/91740/srh-vs-kkr-final-indian-premier-league-2024,SRH,KKR,1456
