,Date,Location,Home Team,Away Team,Result,Match id,Match number
0,2024-03-22 20:00,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings Won By 6  Wickets,89654_1354,1
1,2024-03-23 19:30,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders Won By 4  Runs,89665_1356,2
2,2024-03-24 19:30,Ahmedabad,Gujarat Titans,Mumbai Indians,Gujarat Titans Won By 6  Runs,89675_1358,3
3,2024-03-31 19:30,Visakhapatnam,Delhi Capitals,Chennai Super Kings,Delhi Capitals Won By 20  Runs,89724_1366,4
4,2024-04-07 19:30,Lucknow,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants Won By 33  Runs,89770_1374,5
5,2024-04-14 19:30,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings Won By 20  Runs,91425_1411,6
6,2024-04-21 19:30,Mullanpur,Punjab Kings,Gujarat Titans,Gujarat Titans Won By 3  Wickets,91488_1419,7
7,2024-04-27 19:30,Lucknow,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals Won By 7  Wickets,91542_1426,8
8,2024-04-28 19:30,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings Won By 78  Runs,91555_1428,9
9,2024-05-05 19:30,Lucknow,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders Won By 98  Runs,91618_1436,10
10,2024-05-12 19:30,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru Won By 47  Runs,91668_1444,11
11,2024-05-19 19:30,Guwahati,Rajasthan Royals,Kolkata Knight Riders,Match Abandoned,91717_1452,12
12,2024-03-23 15:30,Mullanpur,Punjab Kings,Delhi Capitals,Punjab Kings Won By 4  Wickets,89661_1355,13
13,2024-03-24 15:30,Jaipur,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals Won By 20  Runs,89668_1357,14
14,2024-03-25 19:30,Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru Won By 4  Wickets,89682_1359,15
15,2024-03-26 19:30,Chennai,Chennai Super Kings,Gujarat Titans,Chennai Super Kings Won By 63  Runs,89689_1360,16
16,2024-03-27 19:30,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad Won By 31  Runs,89693_1361,17
17,2024-03-28 19:30,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals Won By 12  Runs,89700_1362,18
18,2024-03-29 19:30,Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders Won By 7  Wickets,89703_1363,19
19,2024-03-30 19:30,Lucknow,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants Won By 21  Runs,89710_1364,20
20,2024-03-31 15:30,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans Won By 7  Wickets,89717_1365,21
21,2024-04-01 19:30,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals Won By 6  Wickets,89731_1367,22
22,2024-04-02 19:30,Bengaluru,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants Won By 28  Runs,89738_1368,23
23,2024-04-03 19:30,Visakhapatnam,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders Won By 106  Runs,89745_1369,24
24,2024-04-04 19:30,Ahmedabad,Gujarat Titans,Punjab Kings,Punjab Kings Won By 3  Wickets,89749_1370,25
25,2024-04-05 19:30,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad Won By 6  Wickets,89752_1371,26
26,2024-04-06 19:30,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals Won By 6  Wickets,89756_1372,27
27,2024-04-07 15:30,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians Won By 29  Runs,89763_1373,28
28,2024-04-08 19:30,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings Won By 7  Wickets,91380_1404,29
29,2024-04-09 19:30,Mullanpur,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad Won By 2  Runs,91389_1405,30
30,2024-04-10 19:30,Jaipur,Rajasthan Royals,Gujarat Titans,Gujarat Titans Won By 3  Wickets,91393_1406,31
31,2024-04-11 19:30,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians Won By 7  Wickets,91398_1407,32
32,2024-04-12 19:30,Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals Won By 6  Wickets,91407_1408,33
33,2024-04-13 19:30,Mullanpur,Punjab Kings,Rajasthan Royals,Rajasthan Royals Won By 3  Wickets,91416_1409,34
34,2024-04-14 15:30,Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders Won By 8  Wickets,91420_1410,35
35,2024-04-15 19:30,Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad Won By 25  Runs,91434_1412,36
36,2024-04-16 19:30,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals Won By 2   Wickets,91443_1414,37
37,2024-04-17 19:30,Ahmedabad,Gujarat Titans,Delhi Capitals,Delhi Capitals Won By 6   Wickets,91452_1413,38
38,2024-04-18 19:30,Mullanpur,Punjab Kings,Mumbai Indians,Mumbai Indians Won By 9  Runs,91461_1415,39
39,2024-04-19 19:30,Lucknow,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants Won By 8  Wickets,91470_1416,40
40,2024-04-20 19:30,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad Won By 67  Runs,91474_1417,41
41,2024-04-21 15:30,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders Won By 1  Run,91479_1418,42
42,2024-04-22 19:30,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals Won By 9  Wickets,91497_1420,43
43,2024-04-23 19:30,Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants Won By 6  Wickets,91506_1421,44
44,2024-04-24 19:30,Delhi,Delhi Capitals,Gujarat Titans,Delhi Capitals Won By 4  Runs,91515_1422,45
45,2024-04-25 19:30,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru Won By 35  Runs,91524_1423,46
46,2024-04-26 19:30,Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings Won By 8  Wickets,91528_1424,47
47,2024-04-27 15:30,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals Won By 10  Runs,91533_1425,48
48,2024-04-28 15:30,Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru Won By 9  Wickets,91551_1427,49
49,2024-04-29 19:30,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders Won By 7  Wickets,91564_1429,50
50,2024-04-30 19:30,Lucknow,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants Won By 4  Wickets,91569_1430,51
51,2024-05-01 19:30,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings Won By 7  Wickets,91578_1431,52
52,2024-05-02 19:30,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad Won By 1  Run,91587_1432,53
53,2024-05-03 19:30,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders Won By 24  Runs,91596_1433,54
54,2024-05-04 19:30,Bengaluru,Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru Won By 4  Wickets,91600_1434,55
55,2024-05-05 15:30,Dharamsala,Punjab Kings,Chennai Super Kings,Chennai Super Kings Won By 28  Runs,91609_1435,56
56,2024-05-06 19:30,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians Won By 7  Wickets,91623_1437,57
57,2024-05-07 19:30,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals Won By 20  Runs,91632_1438,58
58,2024-05-08 19:30,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad Won By 10  Wickets,91641_1439,59
59,2024-05-09 19:30,Dharamsala,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru Won By 60  Runs,91645_1440,60
60,2024-05-10 19:30,Ahmedabad,Gujarat Titans,Chennai Super Kings,Gujarat Titans Won By 35  Runs,91650_1441,61
61,2024-05-11 19:30,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders Won By 18  Runs,91654_1442,62
62,2024-05-12 15:30,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings Won By 5  Wickets,91663_1443,63
63,2024-05-13 19:30,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,Match Abandoned,91677_1445,64
64,2024-05-14 19:30,Delhi,Delhi Capitals,Lucknow Super Giants,Delhi Capitals Won By 19  Runs,91681_1446,65
65,2024-05-15 19:30,Guwahati,Rajasthan Royals,Punjab Kings,Punjab Kings Won By 5  Wickets,91686_1447,66
66,2024-05-16 19:30,Hyderabad,Sunrisers Hyderabad,Gujarat Titans,Match Abandoned,91690_1448,67
67,2024-05-17 19:30,Mumbai,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants Won By 18  Runs,91699_1449,68
68,2024-05-18 19:30,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru Won By 27  Runs,91704_1450,69
69,2024-05-19 15:30,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad Won By 4  Wickets,91713_1451,70
70,2024-05-21 19:30,Ahmedabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders Won By 8   Wickets (Qualified),91722_1453,71
71,2024-05-22 19:30,Ahmedabad,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals Won By 4   Wickets (Qualified),91731_1454,72
72,2024-05-24 19:30,Chennai,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad Won By 36  Runs (Qualified),91735_1455,73
73,2024-05-26 19:30,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders Won By 8  Wickets (Winners),91740_1456,74
